OBJECTID;ADRESA;OTEVRENO;CENA;x_coord;y_coord;x;y
72; ;"po-pá 6-21 h; so-ne 8-20 h";5/8 Kč;15;50;1042162.6250000;731385.2500000
73; ;"po-pá 7-20 h; so-ne 8-19 h";jednotná cena 5 Kč;15;50;1042232.0000000;732738.0625000
74;Praha 4. Lhotecká 169/2b;po-ne 7:00-01:00;zdarma;14;50;1051117.3750000;743661.0625000
75;Praha 4. Soukalova 3; ;zdarma;14;50;1051955.2500000;744515.5000000
76;Skuteckého 1395/1;"po-so 7:00-24:00; 8:00-24:00";zdarma;14;50;1044433.5625000;751002.5625000
77;Praha 6. Španielova 50;nonstop;zdarma;14;50;1043848.2500000;751358.8750000
78;Praha 8. Cínovecká ul. 796;po-ne 6:00-01:00;zdarma;14;50;1037162.6875000;736721.5000000
79; ;nonstop;jednotná cena 5 Kč;14;50;1045414.1875000;738482.3750000
80; ;"po-pá 6:00-20:00; so-ne 8:00-20:00";8/5 Kč;14;50;1045310.9375000;738077.1250000
81; ;"po-pá 6:00-20:00; so-ne 8:00-20:00";jednotná cena 10 Kč;15;50;1045998.6875000;736963.0625000
82;Praha 10. U Slávie 1527;po-ne 9:00-21:00;zdarma;14;50;1045636.8125000;739796.5000000
83;Praha 10. U Slávie 1527;po-ne 9:00-21:00;zdarma;14;50;1045732.0625000;739740.9375000
85;Praha 10. U Slavie 1540/2a;po-ne 6:00-24:00;zdarma;14;50;1045643.7500000;739599.1250000
86;Praha 10. Ukrajinská 2b/304;po-ne 03:45-00:35;jednotná cena 8 Kč;14;50;1045767.3750000;741264.1250000
87;Praha 10. Průmyslová 700/30a;po-ne 7:00-24:00;zdarma;15;50;1045205.0625000;734623.1250000
88;Újezd u Průhonic 280; ; ;15;50;1052884.3750000;735288.5625000
89; ;nejasná;dobrovolné;14;50;1045488.3750000;743466.4375000
90;Praha 2. Jugoslávská 11;"po-čt 6:00-2:00; pá 6:00-5:00; so 7:00-5:00; ne 7:00-02:00";jednotná cena 10 Kč (možnost odečíst formou konzumace);14;50;1044422.8750000;742245.5000000
91;Praha 2. Wilsonova 8;po-ne 03:15-00:45;jednotná cena 20 Kč/1 E;14;50;1043685.8125000;741911.6250000
92; ;"po-pá 6:00-21:00; so-ne 8:00-20:00";8/5 Kč;14;50;1044514.6875000;741812.1875000
93; ;"po-pá 6:00-21:00; so-ne 8:00-20:00";jednotná cena 10 Kč;14;50;1044292.8750000;743160.6250000
94; ;"po-pá 6:00-21:00; so-ne 8:00-20:00";WC jednotná cena 5 Kč. sprcha 40 Kč;14;50;1044496.8125000;743439.9375000
95; ;"po-pá 6:00-21:00; so-ne 7:00-20:00";jednotná cena 10 Kč;14;50;1044425.9375000;742362.3125000
96; ;nonstop;jednotná cena 5 Kč;14;50;1044285.7500000;743040.7500000
97; ;nonstop;jednotná cena 5 Kč;14;50;1044410.0625000;742368.8750000
98;Skandinávská 162/27;po - ne 7:00-23:00;zdarma;14;50;1045844.8125000;752387.4375000
99; ; ; ;14;50;1046370.6250000;749049.8750000
100; ; ;jednotná cena 5 Kč;14;50;1046856.3750000;749834.5625000
101; ;"po-pá 7-20 h; so-ne 8-19 h";jednotná cena 5 Kč;14;50;1046695.2500000;750474.1250000
102; ;"po-pá 7-20 h; so-ne 8-19 h";jednotná cena 5 Kč;14;50;1046378.0000000;751479.0625000
103; ; ;jednotná cena 5 Kč;14;50;1046370.8750000;748188.5000000
104; ;"po-pá 6:00-23:00; so-ne 8:00-23:00";jednotná cena 10 Kč;14;50;1043398.6250000;742690.4375000
105;Praha 2. Wilsonova 8;po-ne 07:00-22:00;jednotná cena 20 Kč/1 E;14;50;1043630.1250000;741989.8125000
106;Praha 2. Wilsonova 8;po-ne 07:00-22:30;jednotná cena 20 Kč/1 E;14;50;1043519.3125000;741917.6875000
107; ;nonstop;jednotná cena 5 Kč;14;50;1041418.5625000;744431.0000000
108; ;"po-pá 6:00-21:00; so-ne 8:00-21:00";jednotná cena 10 Kč;14;50;1041310.3750000;744509.8750000
109;Praha 6. Fajtlova 1090/1;po-ne 9:00 - 21:00;zdarma;14;50;1041153.6875000;751938.6250000
110;Praha 6. Fajtlova 1090/1;po-ne 9:00 - 21:00;zdarma;14;50;1041156.1250000;751938.3125000
111; ;nonstop;zdarma;14;50;1039184.2500000;753211.6875000
112; ;nonstop;zdarma;14;50;1039464.6875000;753542.6875000
113; ;nonstop;zdarma;14;50;1039294.1875000;753391.4375000
114; ;nonstop;zdarma;14;50;1039202.8125000;753313.5625000
115; ;nonstop;zdarma;14;50;1039491.3125000;753547.8750000
116; ;nonstop;zdarma;14;50;1039447.6250000;753571.2500000
117; ;nonstop;zdarma;14;50;1039607.1875000;753428.8125000
118;Praha 6. Evropská 634/204;po-ne 6:00-1:00;zdarma;14;50;1041429.2500000;749698.6875000
119; ;"po-pá 6:00-21:00; so-ne 8:00-21:00";8/5 Kč;14;50;1041783.8750000;743845.5000000
120; ;"po-pá 6:00-21:00; so-ne 9:00-15:00";jednotná cena 10 Kč;14;50;1039393.1875000;737396.4375000
121;Praha 9. Českomoravská 17;otevřeno při akcích v O2 Aréně;zdarma;14;50;1041828.9375000;737362.5625000
122;Praha 9. Českomoravská 2420/15a;po-ne 9:00-21:00;zdarma;14;50;1041841.0625000;737597.8750000
123;Praha 9. Českomoravská 2420/15a;po-ne 9:00-21:00;zdarma;14;50;1041887.7500000;737659.3125000
124;Praha 9. Českomoravská 2420/15a;po-ne 9:00-21:00;zdarma;14;50;1041839.9375000;737599.0000000
